100k,,,,
,1 Place,2 Places,4 Places,8 Places
Seriell,79,,,
1D,104,94,100,196
2D,258,311,384,459
,,,,
,1 Place,2 Places,4 Places,8 Places
Seriell,80,,,
1D,107,104,106,196
2D,257,276,342,397
,,,,
,1 Place,2 Places,4 Places,8 Places
Seriell,80,,,
1D,107,103,110,205
2D,257,264,472,450
,,,,

Fastest,,,,
Seriell,79,,,
1D,104,94,100,196
2D,257,264,342,397
,,,,
Average,,,,
Seriell,79.67,,,
1D,106,100.33,105.33,199
2D,257.33,283.67,399.33,435.33
