400k,,,,
,1 Place,2 Places,4 Places,8 Places
Seriell,393,,,
1D,557,433,493,646
2D,1112,1133,1232,2053
,,,,
,1 Place,2 Places,4 Places,8 Places
Seriell,377,,,
1D,558,476,481,733
2D,1119,1252,1525,1626
,,,,
,1 Place,2 Places,4 Places,8 Places
Seriell,375,,,
1D,543,408,446,622
2D,1122,1338,1338,1854
,,,,
Fastest,,,,
Seriell,375,,,
1D,543,408,446,622
2D,1112,1133,1232,1626
,,,,
Average,,,,
Seriell,381.67,,,
1D,552.67,439,473.33,667
2D,1117.67,1241,1365,1844.33
