av250,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,151,,,,
1D,166,170,170,234,314
2D,444,417,543,640,722
Invasive,465,471,389,480,483
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,157,,,,
1D,168,171,158,253,304
2D,444,554,503,613,710
Invasive,466,498,403,480,514
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,158,,,,
1D,164,152,163,238,318
2D,444,434,486,622,790
Invasive,467,501,392,492,509
,,,,,

Fastest,,,,,
Seriell,151,,,,
1D,164,152,158,234,304
2D,444,417,486,613,710
Invasive,465,471,389,480,483
,,,,,
Average,,,,,
Seriell,155.33,,,,
1D,166,164.33,163.67,241.67,312
2D,444,468.33,510.67,625,740.67
Invasive,466,490,394.67,484,502
