100kav50,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,65,,,,,
1D,88,172,81,148,223
2D,155,294,342,424,395
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,61,,,,,
1D,88,77,92,156,291
2D,155,175,181,427,571
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,62,,,,,
1D,88,77,80,148,315
2D,156,173,181,279,381
,,,,,

Fastest Run,,,,,
Seriell,61,,,,
1D,88,77,80,148,223
2D,155,173,181,279,381
,,,,,
Average Time,,,,,
Seriell,62.67,,,,
1D,88,108.67,84.33,150.67,276.33
2D,155.33,214,234.67,376.67,449
