100kav250,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,184,,,,,
1D,166,170,170,234,314
2D,444,417,543,640,722
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,185,,,,,
1D,168,171,158,253,304
2D,444,554,503,613,710
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,184,,,,,
1D,164,152,163,238,318
2D,444,434,486,622,790
,,,,,

Fastest Run,,,,,
Seriell,184,,,,
1D,164,152,158,234,304
2D,444,417,486,613,710
,,,,,
Average Time,,,,,
Seriell,184.33,,,,
1D,166,164.33,163.67,241.67,312
2D,444,468.33,510.67,625,740.67
