100kav1200,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,774,,,,,
1D,527,302,234,307,377
2D,1756,1186,835,920,954
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,778,,,,,
1D,526,302,240,314,380
2D,1754,1159,826,929,1009
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,767,,,,,
1D,527,303,236,321,360
2D,1755,1183,828,946,976
,,,,,

Fastest Run,,,,,
Seriell,767,,,,
1D,526,302,234,307,360
2D,1754,1159,826,920,954
,,,,,
Average Time,,,,,
Seriell,773,,,,
1D,526.67,302.33,236.67,314,372.33
2D,1755,1176,829.67,931.67,979.67
