100kav2000,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,1213,,,,,
1D,872,828,748,939,966
2D,2969,2741,3309,3521,3477
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,1236,,,,,
1D,828,746,725,960,992
2D,3042,2726,2981,3717,3560
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,1217,,,,,
1D,836,745,748,946,1229
2D,2978,2781,3024,3626,3546
,,,,,

Fastest Run,,,,,
Seriell,1213,,,,
1D,828,745,725,939,966
2D,2969,2726,2981,3521,3477
,,,,,
Average Time,,,,,
Seriell,1222,,,,
1D,845.33,773,740.33,948.33,1062.33
2D,2996.33,2749.33,3104.67,3621.33,3527.67
