100kav500,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,331,,,,,
1D,263,235,226,351,382
2D,808,871,810,995,1089
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,330,,,,,
1D,261,235,224,337,396
2D,809,773,912,1064,1113
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,332,,,,,
1D,262,234,221,328,438
2D,808,844,895,1047,1121
,,,,,

Fastest Run,,,,,
Seriell,330,,,,
1D,261,234,221,328,382
2D,808,773,810,995,1089
,,,,,
Average Time,,,,,
Seriell,331,,,,
1D,262,234.67,223.67,338.67,405.33
2D,808.33,829.33,872.33,1035.33,1107.67
