100kav900,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,564,,,,,
1D,415,390,374,489,524
2D,1384,1297,1397,1697,1718
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,566,,,,,
1D,422,390,338,499,548
2D,1383,1335,1568,1707,1745
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,566,,,,,
1D,422,392,357,493,544
2D,1384,1313,1466,1701,1741
,,,,,

Fastest Run,,,,,
Seriell,564,,,,
1D,415,390,338,489,524
2D,1383,1297,1397,1697,1718
,,,,,
Average Time,,,,,
Seriell,565.33,,,,
1D,419.67,390.67,356.33,493.67,538.67
2D,1383.67,1315,1477,1701.67,1734.67
