100kav1000,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,624,,,,,
1D,453,402,375,514,569
2D,1526,1516,1487,1782,1944
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,621,,,,,
1D,452,472,390,525,589
2D,1533,1476,1581,1787,1814
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,626,,,,,
1D,451,408,396,507,611
2D,1532,1475,1519,1827,1877
,,,,,

Fastest Run,,,,,
Seriell,621,,,,
1D,451,402,375,507,569
2D,1526,1475,1487,1782,1814
,,,,,
Average Time,,,,,
Seriell,623.67,,,,
1D,452,427.33,387,515.33,589.67
2D,1530.33,1489,1529,1798.67,1878.33
