,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,377,,,,
1D,358,322,326,415,475
2D,1212,1111,1118,1522,1499
Invasive,1221,1267,992,1113,1120
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,377,,,,
1D,359,320,313,426,494
2D,1210,1104,1154,1412,1499
Invasive,1214,1274,1016,1164,1132
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,376,,,,
1D,359,325,299,437,495
2D,1212,1098,1362,1455,1558
Invasive,1230,1270,1007,1119,1166
,,,,,

Fastest Run,,,,,
Seriell,376,,,,
1D,358,320,299,415,475
2D,1210,1098,1118,1412,1499
Invasive,1214,1267,992,1113,1120
,,,,,
Average Time,,,,,
Seriell,376.67,,,,
1D,358.67,322.33,312.67,426,488
2D,1211.33,1104.33,1211.33,1463,1518.67
Invasive,1221.67,1270.33,1005,1132,1139.33
