560 bis 1125,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,379,,,,
1D,368,321,368,246,323
2D,1179,806,615,724,743
Invasive,1234,791,556,582,605
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,378,,,,
1D,370,232,206,253,310
2D,1186,806,780,765,778
Invasive,1227,1275,575,609,593
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,381,,,,
1D,368,235,215,304,338
2D,1179,817,1128,725,789
Invasive,1224,1266,582,611,619
,,,,,

Fastest,,,,,
Seriell,378,,,,
1D,368,232,206,246,310
2D,1179,806,615,724,743
Invasive,1224,791,556,582,593
,,,,,
Average,,,,,
Seriell,379.33,,,,
1D,368.67,262.67,263,267.67,323.67
2D,1181.33,809.67,841,738,770
Invasive,1228.33,1110.67,571,600.67,605.67
